,Category,Description,Document / Filing Type,Filings InitialAmended,EXPORT,Count
329,Registrations,S-20,Registration Statements forStandardized Options,S-20,N,6
330,Reports,35-APP,Statements ConcerningProposed Transactions,35-APP,N,6
331,Proxies,14N,Information from CertainNominating Shareholders,SC 14N,N,5
332,Registrations,C/A-W,Crowdfunding Offering StatementAmendment Withdrawals,C/A-W,N,5
333,Registrations,F-10,Registration Statements by Foreign Private Issuers(Effective Immediately),F-10EF,N,5
334,Registrations,F-7,Post-Effective Amendmentsto F-7s,F-7 POS,N,5
335,Registrations,F-9,Post-Effective Amendmentsto F-9s,F-9 POS,N,5
337,Reports,12b-25,Notices of Late Filings ofForm 10-D,NTN 10D,N,5
336,Reports,–,Reports of Salesof Securities,2-E,N,5
338,Ownership,U-13E-1,Transaction Statements by Affiliate and IndependentService Companies,U-13E-1,N,4
339,Registrations,N-8F,Applications for Deregistration by Certain Registered Investment Companies – BusinessDevelopment Companies,40-8F-B,N,4
340,Registrations,18,Registrations of Securities of Foreign Governments andPolitical Subdivisions,18-12B,N,3
341,Registrations,F-9,Registration Statements by Foreign Private Issuers(Effective Immediately),F-9EF,N,3
342,Registrations,N-14,Registrations ofAdditional Securities,N-14MEF,N,3
343,Reports,12b-25,Notices of Late Filings of SpecialFinancial Reports,NTN15D2,N,3
344,Registrations,1-A,Offering Statements – Information Previously Omitted or Substantively Changed —Reg. A,253G3,N,2
345,Registrations,N-2,Post-Effective Amendmentsto N-2s,486B24E,N,2
346,Registrations,N-1,Registration Statements by Open-End Investment Management Companies,N-1,N,2
347,Registrations,SDR,Applications for Registration as a Security-Based SwapData Repository,SDR,N,2
349,Reports,–,Claims and Settlements re: Investment Management Companies,40-17GCS,N,2
348,Reports,1-E,Sales Materials,1-E AD,N,2
350,Proxies,14C,Additional Preliminary ProxyInformation Statements,PREA14C,N,1
351,Registrations,1-Z,Withdrawals of Exit Reports —Reg. A,1-Z-W,N,1
352,Registrations,1-A,Offering Statements – Information Previously Omitted —Reg. A,253G1,N,1
353,Registrations,1-A,Offering Statements – Information Previously Omitted or Substantively Changed – Not Timely Filed —Reg. A,253G4,N,1
354,Registrations,†,Post-Effective Amendments to Designate NewEffective Dates,485BXTF,N,1
355,Registrations,N-2,Post-Effective Amendmentsto N-2s,486A24E,N,1
356,Registrations,†,Asset-Backed Securities Offerings’Electronic Exhibits,ABS-EE,N,1
357,Registrations,Funding Portal,Applications for Withdrawal from Registration as aCrowdfunding Portal,CFPORTAL-W,N,1
358,Registrations,F-2,Registrations of Securities Pursuant to Dividend and InterestReinvestment Plans,F-2D,N,1
359,Registrations,N-8B-4,Registration Statements by Face-AmountCertificate Companies,N-8B-4,N,1
360,Registrations,SB-1,Registrations ofAdditional Securities,SB-1MEF,N,1
361,Registrations,SF-1,Registration Statements (General Form) by Issuers ofAsset-Backed Securities,SF-1,N,1
